,date,total_rides,month,dayofweek,year,unique_stations_364d,ebike_proportion_364d,temp_min_c,rain_sum_mm,snowfall_sum_cm
0,2020-01-01,2141,1,2,2020,,,-5.5,0.0,0.0
1,2020-01-02,6479,1,3,2020,,,2.0,0.0,0.0
2,2020-01-03,5890,1,4,2020,,,0.0,0.0,0.0
3,2020-01-04,3187,1,5,2020,,,-3.5,0.2,0.42
4,2020-01-05,3035,1,6,2020,,,-4.1,0.0,0.0
5,2020-01-06,7073,1,0,2020,,,-0.9,0.0,0.0
6,2020-01-07,7297,1,1,2020,,,-0.8,0.0,0.0
7,2020-01-08,5449,1,2,2020,,,-8.7,0.0,0.0
8,2020-01-09,6804,1,3,2020,,,-3.0,0.4,0.0
9,2020-01-10,5697,1,4,2020,,,3.4,10.9,0.0
10,2020-01-11,965,1,5,2020,,,-1.2,18.2,2.52
11,2020-01-12,1766,1,6,2020,,,-3.5,0.0,0.0
12,2020-01-13,6155,1,0,2020,,,-0.3,0.0,0.0
13,2020-01-14,7067,1,1,2020,,,-1.0,0.0,0.0
14,2020-01-15,6933,1,2,2020,,,-1.1,0.0,0.0
15,2020-01-16,5495,1,3,2020,,,-7.9,0.0,0.0
16,2020-01-17,3858,1,4,2020,,,-8.8,3.0,5.18
17,2020-01-18,1076,1,5,2020,,,-13.9,7.6,0.63
18,2020-01-19,895,1,6,2020,,,-16.6,0.0,0.0
19,2020-01-20,2932,1,0,2020,,,-9.2,0.0,0.0
20,2020-01-21,5187,1,1,2020,,,-9.9,0.0,0.0
21,2020-01-22,5514,1,2,2020,,,-6.4,0.0,0.0
22,2020-01-23,3613,1,3,2020,,,-1.2,2.1,3.36
23,2020-01-24,3657,1,4,2020,,,0.6,11.1,0.91
24,2020-01-25,1728,1,5,2020,,,0.4,4.3,3.01
25,2020-01-26,2542,1,6,2020,,,-1.8,0.0,0.0
26,2020-01-27,6314,1,0,2020,,,-1.8,0.0,0.0
27,2020-01-28,6676,1,1,2020,,,-0.2,0.0,0.0
28,2020-01-29,6455,1,2,2020,,,-0.6,0.0,0.0
29,2020-01-30,6576,1,3,2020,,,-0.1,0.0,0.0
30,2020-01-31,5428,1,4,2020,,,-0.6,0.2,0.42
31,2020-02-01,3204,2,5,2020,,,0.3,0.9,0.49
32,2020-02-02,5417,2,6,2020,,,1.0,0.0,0.0
33,2020-02-03,7278,2,0,2020,,,-1.0,0.0,0.0
